family,feature,upstream_source,mini_symbol,status,target_wave,test_id,interop_artifact,commit_sha,pr_link,evidence_path,oracle_diff_path,notes
OBSERVATION,Obs ID bounds (< >),MSObservationGram.yy,MsSelection::set_observation_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Bound operators"
OBSERVATION,getObservationList accessor,MSSelection.h,MsSelectionResult::observations,Done,P11-W6,,none,c25a03a,,,,Result.observations populated from evaluate()
FEED,Single feed ID,MSFeedGram.yy,MsSelection::set_feed_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Feed ID"
FEED,Feed ID range,MSFeedGram.yy,MsSelection::set_feed_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Range syntax n~m"
FEED,Feed pair cross (f1&f2),MSFeedGram.yy,MsSelection::set_feed_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Cross feeds"
FEED,Feed pair auto (f1&&f2),MSFeedGram.yy,MsSelection::set_feed_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"With auto feeds"
FEED,Feed pair auto-only (f1&&&),MSFeedGram.yy,MsSelection::set_feed_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Self feeds only"
FEED,Feed negation (!f1&f2),MSFeedGram.yy,MsSelection::set_feed_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Exclude feed pair"
FEED,getFeed1List accessor,MSSelection.h,MsSelectionResult::feeds,Done,P11-W6,,none,c25a03a,,,,Result.feeds populated from evaluate()
FEED,getFeed2List accessor,MSSelection.h,MsSelectionResult::feeds,Simplified,P11-W6,,none,c25a03a,,,,Flat feed list; separate feed1/feed2 deferred
FEED,getFeedPairList accessor,MSSelection.h,,Simplified,P11-W6,,none,c25a03a,,,,Feed pair matrix not implemented
TAQL,Pure TaQL expression,MSSelection.h:setTaqlExpr,MsSelection::set_taql_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Direct TaQL string injection"
TAQL,TaQL + category combination,MSSelection.h:getTEN,MsSelection::evaluate,Done,P11-W6,ms_selection_table_expr_bridge_test,none,c25a03a,,tests/ms_selection_table_expr_bridge_test.cpp,none,"AND with parsed expressions via evaluate() and to_taql_where()"
API,toTableExprNode method,MSSelection.h:toTableExprNode,MsSelection::to_taql_where,Done,P11-W6,ms_selection_table_expr_bridge_test,none,c25a03a,,tests/ms_selection_table_expr_bridge_test.cpp,none,"String-based WHERE clause equivalent"
API,PARSE_NOW mode,MSSelection.h:MSSMode,,Simplified,P11-W5,,none,55db8e1,,,,Always immediate (parse-now); parse-late deferred
API,PARSE_LATE mode,MSSelection.h:MSSMode,,Simplified,P11-W5,,none,55db8e1,,,,Parse-late not implemented; always immediate
API,reset method,MSSelection.h:reset,MsSelection::reset,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Reset all expressions"
API,clear method,MSSelection.h:clear,MsSelection::clear,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Clear all expressions"
API,Error handler infrastructure,MSSelectionErrorHandler,,Simplified,P11-W5,,none,55db8e1,,,,Throws std::runtime_error; no error handler collection class
API,set_observation_expr setter,MSSelection.h:setObservationExpr,MsSelection::set_observation_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Observation ID expression setter"
API,set_array_expr setter,MSSelection.h:setArrayExpr,MsSelection::set_array_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Array ID expression setter"
API,set_feed_expr setter,MSSelection.h:setFeedExpr,MsSelection::set_feed_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"Feed expression setter"
API,set_taql_expr setter,MSSelection.h:setTaqlExpr,MsSelection::set_taql_expr,Done,P11-W5,ms_selection_parser_test,none,55db8e1,,tests/ms_selection_parser_test.cpp,none,"TaQL expression setter"
API,getChanSlices accessor,MSSelection.h:getChanSlices,,Simplified,P11-W6,,none,c25a03a,,,,Requires VisIter-style slice objects; channel_ranges available instead
API,getCorrSlices accessor,MSSelection.h:getCorrSlices,,Simplified,P11-W6,,none,c25a03a,,,,Requires VisIter-style slice objects; correlations list available instead
