group,upstream_class,casacore_mini_symbol,header,status,exercising_test
columns,MSProcessorColumns,MsProcessorColumns,ms_columns.hpp,pending,ms_columns_test
columns,MSSourceColumns,MsSourceColumns,ms_columns.hpp,pending,ms_columns_test
columns,MSSpWindowColumns,MsSpWindowColumns,ms_columns.hpp,pending,ms_columns_test
columns,MSStateColumns,MsStateColumns,ms_columns.hpp,pending,ms_columns_test
columns,MSSysCalColumns,MsSysCalColumns,ms_columns.hpp,pending,ms_columns_test
columns,MSWeatherColumns,MsWeatherColumns,ms_columns.hpp,pending,ms_columns_test
utility,MSIter,MsIter,ms_iter.hpp,pending,ms_iter_test
utility,MSRange,MsRange,ms_util.hpp,pending,ms_util_test
utility,StokesConverter,StokesConverter,ms_util.hpp,pending,ms_util_test
utility,MSDopplerUtil,MsDopplerUtil,ms_util.hpp,pending,ms_util_test
utility,MSTileLayout,MsTileLayout,ms_util.hpp,pending,ms_util_test
utility,MSHistoryHandler,MsHistoryHandler,ms_util.hpp,pending,ms_util_test
selection,MSSelection,MsSelection,ms_selection.hpp,pending,ms_selection_test
selection,MSSelectionKeywords,MsSelection,ms_selection.hpp,pending,ms_selection_test
selection,MSSelector,MsSelection,ms_selection.hpp,pending,ms_selection_test
operations,MSMetaData,MsMetaData,ms_metadata.hpp,pending,ms_metadata_test
operations,MSReader,MsMetaData,ms_metadata.hpp,pending,ms_metadata_test
operations,MSSummary,MsSummary,ms_summary.hpp,pending,ms_summary_test
operations,MSDerivedValues,MsMetaData,ms_metadata.hpp,pending,ms_metadata_test
operations,MSConcat,MsConcat,ms_concat.hpp,pending,ms_concat_test
operations,MSFlagger,MsFlagger,ms_flagger.hpp,pending,ms_flagger_test
operations,MSValidIds,MsWriter::validate_foreign_keys(),ms_writer.hpp,pending,ms_writer_test
operations,MSKeys,MsMetaData,ms_metadata.hpp,pending,ms_metadata_test
operations,MSLister,MsSummary,ms_summary.hpp,pending,ms_summary_test
writer,MsWriter,MsWriter,ms_writer.hpp,pending,ms_writer_test
